#Digilent WaveForms Network Analyzer - Bode,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321B3CBB6,,,
#Date Time: 2026-07-17 00:07:11.766,,,
#Start: 500 Hz,,,
#Stop: 100000 Hz,,,
#Steps: 100,,,
#Wavegen: Wavegen C1,,,
#Amplification: 1 X,,,
#Settle: 10 ms,,,
#MinPeriods: 16,,,
#Channel: Channel 1,,,
#Range: 5.49996 V,,,
#Offset: -5.00031 V,,,
#Relative: no,,,
#Channel: Channel 2,,,
#Range: 5.53101 V,,,
#Offset: -4.99998 V,,,
#Relative: yes,,,
,,,
Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
500.00,-19.689,7.357,131.063
527.49,-19.250,7.293,133.497
556.49,-18.646,7.083,134.313
587.08,-18.091,6.906,135.892
619.36,-17.669,6.920,137.151
653.41,-17.205,6.860,138.581
689.33,-16.612,6.566,141.108
727.23,-16.144,6.503,142.623
767.21,-15.732,6.580,143.058
809.38,-15.291,6.575,143.927
853.88,-14.919,6.689,144.577
900.82,-14.591,6.822,145.840
950.35,-14.450,7.299,145.811
1002.59,-13.967,7.292,145.730
1057.71,-13.531,7.336,145.871
1115.86,-13.337,7.773,145.096
1177.21,-12.955,8.023,143.070
1241.93,-12.744,8.507,141.004
1310.20,-12.320,8.751,138.595
1382.23,-11.908,9.061,135.309
1458.23,-11.234,9.215,129.851
1538.39,-10.473,9.359,123.774
1622.97,-9.498,9.372,117.124
1712.19,-8.120,9.014,110.606
1806.32,-6.423,8.485,103.843
1905.63,-4.434,7.809,97.327
2010.39,-2.353,7.048,92.328
2120.92,0.008,6.119,87.597
2237.52,1.867,4.823,86.016
2360.53,2.988,3.582,84.418
2490.30,3.447,2.682,82.822
2627.21,3.602,1.944,80.907
2771.64,3.502,1.310,79.176
2924.02,3.311,0.710,76.948
3084.77,2.883,0.011,75.774
3254.36,2.366,-0.791,75.505
3433.27,1.914,-1.567,75.504
3622.02,1.573,-2.233,75.500
3821.15,1.267,-2.930,75.522
4031.22,1.033,-3.529,75.628
4252.84,0.799,-4.231,75.886
4486.65,0.619,-4.846,76.037
4733.31,0.467,-5.423,76.615
4993.53,0.342,-5.960,76.610
5268.05,0.217,-6.589,76.914
5557.67,0.120,-7.167,77.054
5863.21,0.037,-7.676,77.067
6185.55,-0.034,-8.208,77.254
6525.61,-0.096,-8.741,77.717
6884.36,-0.153,-9.247,77.752
7262.84,-0.198,-9.757,77.814
7662.12,-0.245,-10.265,77.939
8083.36,-0.287,-10.736,77.903
8527.75,-0.312,-11.240,77.858
8996.58,-0.344,-11.674,77.626
9491.18,-0.368,-12.145,77.643
10012.97,-0.399,-12.586,77.744
10563.44,-0.411,-13.038,77.375
11144.18,-0.437,-13.493,77.322
11756.85,-0.445,-13.926,76.550
12403.20,-0.461,-14.326,76.510
13085.08,-0.467,-14.735,76.090
13804.45,-0.481,-15.155,75.528
14563.37,-0.494,-15.428,75.447
15364.01,-0.512,-15.937,74.091
16208.67,-0.513,-16.303,73.419
17099.76,-0.519,-16.658,72.518
18039.84,-0.531,-17.156,72.107
19031.61,-0.546,-17.520,70.839
20077.90,-0.561,-17.753,69.711
21181.70,-0.551,-18.139,68.908
22346.20,-0.574,-18.438,67.737
23574.71,-0.575,-18.827,62.931
24870.76,-0.574,-19.634,70.870
26238.07,-0.581,-19.491,62.462
27680.54,-0.576,-19.893,60.733
29202.31,-0.586,-20.237,59.542
30807.75,-0.592,-20.757,56.523
32501.45,-0.602,-21.009,55.477
34288.26,-0.603,-21.212,52.863
36173.30,-0.608,-21.827,49.875
38161.98,-0.615,-22.282,49.630
40259.99,-0.622,-22.507,45.313
42473.34,-0.628,-22.789,41.937
44808.36,-0.622,-23.222,40.161
47271.77,-0.608,-23.894,37.736
49870.59,-0.634,-24.092,35.986
52612.30,-0.596,-25.016,32.420
55504.73,-0.628,-24.864,29.513
58556.18,-0.615,-25.601,29.523
61775.38,-0.601,-25.862,21.327
65171.57,-0.665,-19.714,94.130
68754.47,-0.609,-19.854,170.242
72534.34,-0.603,-17.215,16.356
76522.01,-0.661,-20.437,136.931
80728.91,-0.618,-26.396,100.672
85167.09,-0.584,-29.795,14.687
89849.27,-0.559,-29.845,-9.772
94788.85,-0.543,-30.371,-15.617
100000.00,-0.549,-32.922,-13.065
